ticket,resolution_time_hours
I need assistance because Please cancel my recent purchase Can you look into this?,4.1
I want to cancel my order but it has already been processed I need this resolved.,8.9
I need assistance because The refund was approved but I have not received the money I need this resolved.,38.8
Can you help me with this? I need to update my profile information I need this resolved.,2.7
How can I change my email address? Can you look into this?,1.2
I need help because My refund has not arrived yet Can you check this?,34.2
Can you help me with this? I was charged twice for the same transaction Please help me.,9.2
I need help because My delivery is slightly delayed Please resolve this issue.,9.5
I need help because I cannot place an order because the website crashes,11.6
I am having a problem because The tracking information has not been updated,11.7
I am having a problem because The payment page is not working,8.1
"Please help me, I want to cancel my subscription Can you check this?",3.1
My payment failed but money was deducted Can you look into this?,9.8
I need assistance because The website is not loading properly Please resolve this issue.,7.0
I need assistance because My payment failed,4.8
I am having a problem because My order information is incorrect Please help me.,9.8
I am facing an issue where I want a refund for my order I need this resolved.,23.7
I am facing an issue where The website is completely unavailable Can you check this?,23.0
My package is missing and the delivery shows completed I need this resolved.,37.9
Where can I see my order status? I need this resolved.,7.0
My parcel has been delayed for several days Please help me.,19.4
I am facing an issue where Where is my package? Please resolve this issue.,5.2
I need assistance because The website keeps freezing Can you check this?,7.3
There is an unknown transaction on my card Please resolve this issue.,16.7
I am facing an issue where The website is not loading properly Can you look into this?,6.2
"Please help me, My refund amount is incorrect Can you check this?",41.9
I am facing an issue where My order information is incorrect,6.8
I need help because My order information is incorrect,11.4
I am facing an issue where My parcel has been delayed for several days I need this resolved.,12.3
I am facing an issue where I want to update my phone number Please help me.,2.5
Can you help me with this? The payment page is not working Can you look into this?,11.8
I need assistance because The refund was approved but I have not received the money Can you look into this?,39.0
I am facing an issue where My entire order is missing Can you look into this?,32.9
I need assistance because I forgot my password and cannot log in Please resolve this issue.,3.3
I was charged for my subscription I need this resolved.,7.4
I am facing an issue where My refund amount is incorrect Can you look into this?,42.9
The payment page is not working Please resolve this issue.,15.9
"Please help me, My package has not arrived Can you look into this?",20.3
How can I change my email address? Please resolve this issue.,1.9
I am facing an issue where My card payment was declined Can you check this?,7.9
Can you help me with this? Please cancel my recent purchase Can you look into this?,4.5
I need help because There is an unknown transaction on my card I need this resolved.,14.8
"Please help me, Where is my package?",8.0
I am having a problem because How can I change my subscription plan?,3.1
I need assistance because How can I change my email address? Please resolve this issue.,1.3
I am having a problem because I want to cancel my order but it has already been processed Please resolve this issue.,8.4
I need assistance because The website is completely unavailable Please help me.,15.8
Can you help me with this? My refund amount is incorrect Can you check this?,30.4
I need assistance because I received the wrong item Please help me.,21.6
I need help cancelling an order that has already shipped,10.9
Can you help me with this? I cannot access my paid subscription Can you look into this?,10.5
Can you help me with this? My delivery is slightly delayed Can you check this?,7.9
I need help because I cannot access my paid subscription Can you look into this?,16.1
I need help because The website is not loading properly Please resolve this issue.,8.2
I need help because The refund was approved but I have not received the money I need this resolved.,30.1
I need assistance because An item is missing from my order Please resolve this issue.,15.7
I requested a refund for my purchase I need this resolved.,26.5
"Please help me, How can I change my subscription plan? Please help me.",2.8
I am having a problem because I cannot place an order because the website crashes Please help me.,9.1
"Please help me, My package has not arrived I need this resolved.",22.6
Can you help me with this? How can I change my email address? Can you check this?,1.3
I need help because I requested a refund for my purchase Please help me.,25.4
I need help because My package is missing and the delivery shows completed I need this resolved.,28.8
I am facing an issue where My subscription benefits are not working I need this resolved.,16.8
I need assistance because There is an unknown transaction on my card Please resolve this issue.,19.0
"Please help me, The app keeps crashing when I try to use it I need this resolved.",14.0
I need assistance because My payment failed but money was deducted Can you check this?,13.5
I need help because I cannot place an order because the website crashes Please help me.,12.6
Someone accessed my account and I cannot log in Can you check this?,11.9
I want to cancel my subscription,6.0
Can you help me with this? My entire order is missing I need this resolved.,33.8
"Please help me, I forgot my password and cannot log in Please help me.",2.3
I need assistance because My card payment was declined Can you look into this?,3.5
I need assistance because I requested a refund for my purchase,27.3
"Please help me, Someone accessed my account and I cannot log in Can you look into this?",10.7
I need assistance because My order is incomplete Please help me.,16.2
"Please help me, I received the wrong item",27.1
"Please help me, How can I change my subscription plan? Can you look into this?",3.4
Can you help me with this? My entire order is missing,34.8
